Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Intensity	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions	Taxonomy IDs
tr|A0A2R8Y3X5|A0A2R8Y3X5_HUMAN;sp|O60313|OPA1_HUMAN;tr|A0A2R8YE78|A0A2R8YE78_HUMAN;tr|C9JMB8|C9JMB8_HUMAN;tr|E5KLJ9|E5KLJ9_HUMAN;tr|A0A2R8YDM2|A0A2R8YDM2_HUMAN;tr|A0A2R8YFD1|A0A2R8YFD1_HUMAN;tr|A0A2R8YGE5|A0A2R8YGE5_HUMAN;tr|A0A2R8YD53|A0A2R8YD53_HUMAN;tr|A0A2R8Y4Q3|A0A2R8Y4Q3_HUMAN;tr|A0A2R8Y4G4|A0A2R8Y4G4_HUMAN;tr|A0A2R8YE54|A0A2R8YE54_HUMAN;tr|H7C141|H7C141_HUMAN;tr|H7C3G2|H7C3G2_HUMAN	tr|A0A2R8Y3X5|A0A2R8Y3X5_HUMAN;sp|O60313|OPA1_HUMAN;tr|A0A2R8YE78|A0A2R8YE78_HUMAN;tr|C9JMB8|C9JMB8_HUMAN;tr|E5KLJ9|E5KLJ9_HUMAN;tr|A0A2R8YDM2|A0A2R8YDM2_HUMAN;tr|A0A2R8YFD1|A0A2R8YFD1_HUMAN;tr|A0A2R8YGE5|A0A2R8YGE5_HUMAN;tr|A0A2R8YD53|A0A2R8YD53_HUMAN;tr|A0A2R8Y4Q3|A0A2R8Y4Q3_HUMAN	29;29;29;29;29;27;22;18;16;15;13;10;5;2	29;29;29;29;29;27;22;18;16;15;13;10;5;2	29;29;29;29;29;27;22;18;16;15;13;10;5;2	tr|A0A2R8Y3X5|A0A2R8Y3X5_HUMAN Dynamin-like 120 kDa protein, mitochondrial OS=Homo sapiens OX=9606 GN=OPA1 PE=1 SV=1;sp|O60313|OPA1_HUMAN Dynamin-like 120 kDa protein, mitochondrial OS=Homo sapiens OX=9606 GN=OPA1 PE=1 SV=3;tr|A0A2R8YE78|A0A2R8YE78_HUMAN D	14	29	29	29	37.4	37.4	37.4	99.132	854	854;960;963;972;979;965;623;664;569;412;377;528;183;131	0	208.69	1381800000	33				140	370;710;785;1302;1303;1597;1660;2308;2419;2570;2791;3161;3521;4748;4886;4887;4963;5161;5224;5508;5945;5946;6698;6699;6754;7144;7389;7452;7541	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	370;712;787;1309;1310;1605;1669;2320;2431;2582;2803;3179;3540;4777;4921;4922;4999;5200;5264;5550;5987;5988;6749;6750;6805;7199;7445;7508;7597	419;808;906;1517;1518;1519;1520;1847;1918;2652;2783;2966;3233;3234;3673;4111;5562;5740;5741;5742;5838;6089;6090;6165;6508;7035;7036;7916;7917;7988;8468;8760;8827;8931	503;971;1099;1100;1821;1822;1823;1824;2208;2292;3170;3325;3546;3862;3863;4401;4931;6677;6896;6897;6898;7016;7323;7324;7325;7412;7820;8468;8469;9535;9536;9625;10214;10576;10661;10788	503;971;1099;1822;1823;2208;2292;3170;3325;3546;3862;4401;4931;6677;6897;6898;7016;7325;7412;7820;8468;8469;9535;9536;9625;10214;10576;10661;10788			-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
sp|O60331|PI51C_HUMAN;sp|O14986|PI51B_HUMAN;tr|A6PW57|A6PW57_HUMAN;sp|Q99755|PI51A_HUMAN	sp|O60331|PI51C_HUMAN;sp|O14986|PI51B_HUMAN;tr|A6PW57|A6PW57_HUMAN;sp|Q99755|PI51A_HUMAN	2;1;1;1	2;1;1;1	2;1;1;1	sp|O60331|PI51C_HUMAN Phosphatidylinositol 4-phosphate 5-kinase type-1 gamma OS=Homo sapiens OX=9606 GN=PIP5K1C PE=1 SV=2;sp|O14986|PI51B_HUMAN Phosphatidylinositol 4-phosphate 5-kinase type-1 beta OS=Homo sapiens OX=9606 GN=PIP5K1B PE=1 SV=2;tr|A6PW57|A6P	4	2	2	2	4.5	4.5	4.5	73.259	668	668;540;550;562	0	15.102	39211000	2				141	484;4129	True;True	485;4150	546;4853	653;5814	653;5814			-1;-1;-1;-1
sp|O60359|CCG3_HUMAN	sp|O60359|CCG3_HUMAN	1	1	1	sp|O60359|CCG3_HUMAN Voltage-dependent calcium channel gamma-3 subunit OS=Homo sapiens OX=9606 GN=CACNG3 PE=2 SV=1	1	1	1	1	2.9	2.9	2.9	35.548	315	315	0.0053727	6.1182	11323000	1				142	6362	True	6407	7522	9047	9047			-1
sp|O60477|BRNP1_HUMAN	sp|O60477|BRNP1_HUMAN	1	1	1	sp|O60477|BRNP1_HUMAN BMP/retinoic acid-inducible neural-specific protein 1 OS=Homo sapiens OX=9606 GN=BRINP1 PE=1 SV=2	1	1	1	1	1.3	1.3	1.3	88.76	761	761	0.0034602	6.3033	8297900	1				143	4145	True	4166	4870	5833	5833			-1
sp|O60493|SNX3_HUMAN	sp|O60493|SNX3_HUMAN	4	4	4	sp|O60493|SNX3_HUMAN Sorting nexin-3 OS=Homo sapiens OX=9606 GN=SNX3 PE=1 SV=3	1	4	4	4	29	29	29	18.762	162	162	0	22.247	66826000	4				144	187;3567;5451;7539	True;True;True;True	187;3586;5493;7595	216;4164;6445;8929	267;4989;7747;10786	267;4989;7747;10786			-1
sp|O60503|ADCY9_HUMAN;tr|I3NI20|I3NI20_HUMAN	sp|O60503|ADCY9_HUMAN;tr|I3NI20|I3NI20_HUMAN	2;1	2;1	2;1	sp|O60503|ADCY9_HUMAN Adenylate cyclase type 9 OS=Homo sapiens OX=9606 GN=ADCY9 PE=1 SV=4;tr|I3NI20|I3NI20_HUMAN Adenylate cyclase type 9 (Fragment) OS=Homo sapiens OX=9606 GN=ADCY9 PE=1 SV=1	2	2	2	2	1.7	1.7	1.7	150.7	1353	1353;257	0	12.071	42318000	2				145	6869;7567	True;True	6923;7624	8136;8959	9802;10821	9802;10821			-1;-1
sp|O60506|HNRPQ_HUMAN;tr|F6UXX1|F6UXX1_HUMAN;tr|B7Z645|B7Z645_HUMAN	sp|O60506|HNRPQ_HUMAN;tr|F6UXX1|F6UXX1_HUMAN;tr|B7Z645|B7Z645_HUMAN	4;2;2	4;2;2	2;2;1	sp|O60506|HNRPQ_HUMAN Heterogeneous nuclear ribonucleoprotein Q OS=Homo sapiens OX=9606 GN=SYNCRIP PE=1 SV=2;tr|F6UXX1|F6UXX1_HUMAN Heterogeneous nuclear ribonucleoprotein Q (Fragment) OS=Homo sapiens OX=9606 GN=SYNCRIP PE=1 SV=1;tr|B7Z645|B7Z645_HUMAN Het	3	4	4	2	6.7	6.7	3.7	69.602	623	623;185;464	0	40.538	36371000	4				146	247;1033;1131;3349	True;True;True;True	247;1037;1137;3367	283;1198;1315;3894	347;1439;1587;4674	347;1439;1587;4674			-1;-1;-1
sp|O60518|RNBP6_HUMAN	sp|O60518|RNBP6_HUMAN	1	1	1	sp|O60518|RNBP6_HUMAN Ran-binding protein 6 OS=Homo sapiens OX=9606 GN=RANBP6 PE=1 SV=2	1	1	1	1	1.8	1.8	1.8	124.71	1105	1105	0.00083963	10.303	5799700	1				147	322	True	322	367	442	442			-1
tr|B1AKP2|B1AKP2_HUMAN;tr|B1AKP1|B1AKP1_HUMAN;sp|O60636|TSN2_HUMAN	tr|B1AKP2|B1AKP2_HUMAN;tr|B1AKP1|B1AKP1_HUMAN;sp|O60636|TSN2_HUMAN	1;1;1	1;1;1	1;1;1	tr|B1AKP2|B1AKP2_HUMAN Tetraspanin (Fragment) OS=Homo sapiens OX=9606 GN=TSPAN2 PE=1 SV=1;tr|B1AKP1|B1AKP1_HUMAN Tetraspanin OS=Homo sapiens OX=9606 GN=TSPAN2 PE=1 SV=1;sp|O60636|TSN2_HUMAN Tetraspanin-2 OS=Homo sapiens OX=9606 GN=TSPAN2 PE=1 SV=2	3	1	1	1	6.4	6.4	6.4	20.564	187	187;196;221	0.00079936	7.6446	114570000	1				148	1592	True	1600	1840	2197	2197			-1;-1;-1
tr|E9PDG8|E9PDG8_HUMAN;sp|O60641|AP180_HUMAN;tr|E5RGY9|E5RGY9_HUMAN;tr|E5RFC6|E5RFC6_HUMAN;tr|E5RK51|E5RK51_HUMAN;tr|E5RIJ5|E5RIJ5_HUMAN;tr|E5RFU0|E5RFU0_HUMAN;tr|E5RHK9|E5RHK9_HUMAN;tr|E5RJY3|E5RJY3_HUMAN;tr|E5RK53|E5RK53_HUMAN;tr|E5RGP8|E5RGP8_HUMAN;tr|E9PI56|E9PI56_HUMAN;tr|E9PKP6|E9PKP6_HUMAN;tr|E9PLJ8|E9PLJ8_HUMAN;tr|H0YBT2|H0YBT2_HUMAN	tr|E9PDG8|E9PDG8_HUMAN;sp|O60641|AP180_HUMAN;tr|E5RGY9|E5RGY9_HUMAN;tr|E5RFC6|E5RFC6_HUMAN;tr|E5RK51|E5RK51_HUMAN;tr|E5RIJ5|E5RIJ5_HUMAN;tr|E5RFU0|E5RFU0_HUMAN;tr|E5RHK9|E5RHK9_HUMAN	14;14;10;8;8;8;7;7;3;2;2;2;2;2;2	14;14;10;8;8;8;7;7;3;2;2;2;2;2;2	12;12;8;6;6;6;5;5;3;2;2;0;0;0;2	tr|E9PDG8|E9PDG8_HUMAN Clathrin coat assembly protein AP180 OS=Homo sapiens OX=9606 GN=SNAP91 PE=1 SV=1;sp|O60641|AP180_HUMAN Clathrin coat assembly protein AP180 OS=Homo sapiens OX=9606 GN=SNAP91 PE=1 SV=2;tr|E5RGY9|E5RGY9_HUMAN Clathrin coat assembly pro	15	14	14	12	22.4	22.4	20.2	91.969	902	902;907;581;149;150;152;116;120;66;43;58;147;148;185;222	0	150.8	1154300000	19				149	475;666;673;1114;1818;2580;2715;3418;3419;3549;5199;5881;6188;6902	True;True;True;True;True;True;True;True;True;True;True;True;True;True	476;668;675;1120;1827;2592;2727;3437;3438;3568;5239;5923;6233;6956	532;760;768;1291;2086;2976;3148;3149;3982;3983;4145;6133;6955;7317;8174;8175	635;916;926;1557;2492;3560;3761;3762;4779;4780;4781;4968;7376;8360;8809;9847;9848;9849;9850	635;916;926;1557;2492;3560;3762;4779;4781;4968;7376;8360;8809;9848			-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
tr|C9JZR2|C9JZR2_HUMAN;sp|O60716|CTND1_HUMAN;tr|E9PRE2|E9PRE2_HUMAN;tr|E9PKY0|E9PKY0_HUMAN	tr|C9JZR2|C9JZR2_HUMAN;sp|O60716|CTND1_HUMAN;tr|E9PRE2|E9PRE2_HUMAN	6;6;3;2	6;6;3;2	6;6;3;2	tr|C9JZR2|C9JZR2_HUMAN Catenin delta-1 OS=Homo sapiens OX=9606 GN=CTNND1 PE=1 SV=2;sp|O60716|CTND1_HUMAN Catenin delta-1 OS=Homo sapiens OX=9606 GN=CTNND1 PE=1 SV=1;tr|E9PRE2|E9PRE2_HUMAN Catenin delta-1 (Fragment) OS=Homo sapiens OX=9606 GN=CTNND1 PE=1 SV	4	6	6	6	7.8	7.8	7.8	104.85	938	938;968;261;126	0	39.247	21151000	4				150	536;2462;5335;5494;6046;6067	True;True;True;True;True;True	538;2474;5376;5536;6090;6112	608;2841;6302;6490;7152;7176	735;3398;7581;7800;8608;8637	735;3398;7581;7800;8608;8637			-1;-1;-1;-1
sp|O60739|EIF1B_HUMAN	sp|O60739|EIF1B_HUMAN	1	1	1	sp|O60739|EIF1B_HUMAN Eukaryotic translation initiation factor 1b OS=Homo sapiens OX=9606 GN=EIF1B PE=1 SV=2	1	1	1	1	29.2	29.2	29.2	12.823	113	113	0.00080972	8.2	16461000	2				151	6226	True	6271	7359	8854;8855	8855			-1
tr|V9GYF4|V9GYF4_HUMAN;tr|B0QY02|B0QY02_HUMAN;tr|B0QY01|B0QY01_HUMAN;sp|O60784|TOM1_HUMAN;tr|V9GZ68|V9GZ68_HUMAN;tr|Q6UW50|Q6UW50_HUMAN	tr|V9GYF4|V9GYF4_HUMAN;tr|B0QY02|B0QY02_HUMAN;tr|B0QY01|B0QY01_HUMAN;sp|O60784|TOM1_HUMAN;tr|V9GZ68|V9GZ68_HUMAN;tr|Q6UW50|Q6UW50_HUMAN	2;2;2;2;1;1	2;2;2;2;1;1	2;2;2;2;1;1	tr|V9GYF4|V9GYF4_HUMAN Target of Myb protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=TOM1 PE=1 SV=1;tr|B0QY02|B0QY02_HUMAN Target of Myb protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=TOM1 PE=1 SV=1;tr|B0QY01|B0QY01_HUMAN Target of Myb protein 1 (Fragment	6	2	2	2	24.6	24.6	24.6	15.19	134	134;151;334;492;125;209	0	12.207	38287000	2				152	2223;7245	True;True	2234;7300	2548;8592	3050;10366	3050;10366			-1;-1;-1;-1;-1;-1
sp|Q99880|H2B1L_HUMAN;sp|Q99879|H2B1M_HUMAN;sp|Q99877|H2B1N_HUMAN;sp|Q93079|H2B1H_HUMAN;sp|Q5QNW6|H2B2F_HUMAN;sp|P62807|H2B1C_HUMAN;sp|P58876|H2B1D_HUMAN;sp|P57053|H2BFS_HUMAN;sp|O60814|H2B1K_HUMAN;tr|U3KQK0|U3KQK0_HUMAN;sp|Q16778|H2B2E_HUMAN;sp|P33778|H2B1B_HUMAN;sp|P23527|H2B1O_HUMAN;sp|P06899|H2B1J_HUMAN;sp|Q96A08|H2B1A_HUMAN	sp|Q99880|H2B1L_HUMAN;sp|Q99879|H2B1M_HUMAN;sp|Q99877|H2B1N_HUMAN;sp|Q93079|H2B1H_HUMAN;sp|Q5QNW6|H2B2F_HUMAN;sp|P62807|H2B1C_HUMAN;sp|P58876|H2B1D_HUMAN;sp|P57053|H2BFS_HUMAN;sp|O60814|H2B1K_HUMAN;tr|U3KQK0|U3KQK0_HUMAN;sp|Q16778|H2B2E_HUMAN;sp|P33778|H2B1B_HUMAN;sp|P23527|H2B1O_HUMAN;sp|P06899|H2B1J_HUMAN;sp|Q96A08|H2B1A_HUMAN	6;6;6;6;6;6;6;6;6;6;5;5;5;5;4	6;6;6;6;6;6;6;6;6;6;5;5;5;5;4	2;2;2;2;2;2;2;2;2;2;1;1;1;1;1	sp|Q99880|H2B1L_HUMAN Histone H2B type 1-L OS=Homo sapiens OX=9606 GN=HIST1H2BL PE=1 SV=3;sp|Q99879|H2B1M_HUMAN Histone H2B type 1-M OS=Homo sapiens OX=9606 GN=HIST1H2BM PE=1 SV=3;sp|Q99877|H2B1N_HUMAN Histone H2B type 1-N OS=Homo sapiens OX=9606 GN=HIST1H	15	6	6	2	43.7	43.7	13.5	13.952	126	126;126;126;126;126;126;126;126;126;166;126;126;126;126;127	0	45.519	2503700000	8				153	491;1397;3396;4115;5566;7229	True;True;True;True;True;True	492;493;1404;3415;4136;5608;7284	553;554;1624;3954;4837;6577;8573;8574	660;661;1942;4746;5797;7913;10344;10345	661;1942;4746;5797;7913;10344			-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
sp|O60861|GAS7_HUMAN;tr|A0A0A0MS68|A0A0A0MS68_HUMAN	sp|O60861|GAS7_HUMAN	3;1	3;1	3;1	sp|O60861|GAS7_HUMAN Growth arrest-specific protein 7 OS=Homo sapiens OX=9606 GN=GAS7 PE=1 SV=3	2	3	3	3	9	9	9	54.371	476	476;181	0	18.776	71961000	4				154	2512;3944;4382	True;True;True	2524;3965;4404	2899;4626;5130	3468;3469;5548;6157	3469;5548;6157			-1;-1
sp|O60883|G37L1_HUMAN	sp|O60883|G37L1_HUMAN	1	1	1	sp|O60883|G37L1_HUMAN G-protein coupled receptor 37-like 1 OS=Homo sapiens OX=9606 GN=GPR37L1 PE=1 SV=2	1	1	1	1	1.7	1.7	1.7	52.77	481	481	0.00079365	7.4978	62894000	1				155	4085	True	4106	4797	5749	5749			-1
sp|O60884|DNJA2_HUMAN;tr|A0A087WT48|A0A087WT48_HUMAN	sp|O60884|DNJA2_HUMAN	5;1	5;1	5;1	sp|O60884|DNJA2_HUMAN DnaJ homolog subfamily A member 2 OS=Homo sapiens OX=9606 GN=DNAJA2 PE=1 SV=1	2	5	5	5	15.3	15.3	15.3	45.745	412	412;134	0	49.452	112710000	5				156	965;3002;3240;3241;5226	True;True;True;True;True	969;3014;3258;3259;5266	1116;3458;3764;3765;6167	1348;4139;4519;4520;7414	1348;4139;4519;4520;7414			-1;-1
tr|H3BM67|H3BM67_HUMAN;tr|H3BUP2|H3BUP2_HUMAN;tr|H3BUN4|H3BUN4_HUMAN;sp|O60936|NOL3_HUMAN;tr|H3BQJ5|H3BQJ5_HUMAN	tr|H3BM67|H3BM67_HUMAN;tr|H3BUP2|H3BUP2_HUMAN;tr|H3BUN4|H3BUN4_HUMAN;sp|O60936|NOL3_HUMAN;tr|H3BQJ5|H3BQJ5_HUMAN	1;1;1;1;1	1;1;1;1;1	1;1;1;1;1	tr|H3BM67|H3BM67_HUMAN Nucleolar protein 3 (Fragment) OS=Homo sapiens OX=9606 GN=NOL3 PE=1 SV=8;tr|H3BUP2|H3BUP2_HUMAN Nucleolar protein 3 (Fragment) OS=Homo sapiens OX=9606 GN=NOL3 PE=1 SV=1;tr|H3BUN4|H3BUN4_HUMAN Nucleolar protein 3 (Fragment) OS=Homo sa	5	1	1	1	13.8	13.8	13.8	14.924	138	138;174;206;208;216	0.00078678	7.3723	2684700	1				157	2430	True	2442	2801	3350	3350			-1;-1;-1;-1;-1
tr|A0A2R8Y473|A0A2R8Y473_HUMAN;tr|B4DGL8|B4DGL8_HUMAN;sp|O75027|ABCB7_HUMAN;tr|A0A087WW65|A0A087WW65_HUMAN;tr|A0A2R8Y3N2|A0A2R8Y3N2_HUMAN;tr|E9PNQ5|E9PNQ5_HUMAN;tr|E9PJR8|E9PJR8_HUMAN	tr|A0A2R8Y473|A0A2R8Y473_HUMAN;tr|B4DGL8|B4DGL8_HUMAN;sp|O75027|ABCB7_HUMAN;tr|A0A087WW65|A0A087WW65_HUMAN	4;4;4;3;1;1;1	4;4;4;3;1;1;1	4;4;4;3;1;1;1	tr|A0A2R8Y473|A0A2R8Y473_HUMAN ATP-binding cassette sub-family B member 7, mitochondrial OS=Homo sapiens OX=9606 GN=ABCB7 PE=1 SV=1;tr|B4DGL8|B4DGL8_HUMAN cDNA FLJ53391, highly similar to ATP-binding cassette sub-family B member 7, mitochondrial (Fragment)	7	4	4	4	7.2	7.2	7.2	71.169	651	651;702;752;713;159;171;188	0	23.584	33163000	5				158	3667;5299;6911;6912	True;True;True;True	3686;5340;6965;6966	4273;6264;8187;8188	5113;5114;7537;9864;9865	5113;7537;9864;9865			-1;-1;-1;-1;-1;-1;-1
sp|O75061|AUXI_HUMAN;tr|S4R305|S4R305_HUMAN	sp|O75061|AUXI_HUMAN;tr|S4R305|S4R305_HUMAN	5;3	5;3	5;3	sp|O75061|AUXI_HUMAN Putative tyrosine-protein phosphatase auxilin OS=Homo sapiens OX=9606 GN=DNAJC6 PE=1 SV=3;tr|S4R305|S4R305_HUMAN Putative tyrosine-protein phosphatase auxilin (Fragment) OS=Homo sapiens OX=9606 GN=DNAJC6 PE=1 SV=1	2	5	5	5	7.6	7.6	7.6	99.995	913	913;516	0	28.493	114200000	5				159	736;2578;3339;7390;7594	True;True;True;True;True	738;2590;3357;7446;7651	841;2974;3881;8761;8989	1015;3558;4658;10577;10856	1015;3558;4658;10577;10856			-1;-1
tr|G5E963|G5E963_HUMAN;tr|A0A1B0GUZ3|A0A1B0GUZ3_HUMAN;tr|A0A0C4DFR1|A0A0C4DFR1_HUMAN;sp|O75069|TMCC2_HUMAN	tr|G5E963|G5E963_HUMAN;tr|A0A1B0GUZ3|A0A1B0GUZ3_HUMAN;tr|A0A0C4DFR1|A0A0C4DFR1_HUMAN;sp|O75069|TMCC2_HUMAN	1;1;1;1	1;1;1;1	1;1;1;1	tr|G5E963|G5E963_HUMAN Transmembrane and coiled-coil domain family 2, isoform CRA_b OS=Homo sapiens OX=9606 GN=TMCC2 PE=1 SV=1;tr|A0A1B0GUZ3|A0A1B0GUZ3_HUMAN Transmembrane and coiled-coil domain family 2, isoform CRA_a OS=Homo sapiens OX=9606 GN=TMCC2 PE=1	4	1	1	1	2.6	2.6	2.6	51.658	469	469;484;514;709	0.00080257	7.7726	4483800	0				160	3687	True	3706	4298	5147	5147			-1;-1;-1;-1
tr|E7EWD3|E7EWD3_HUMAN;sp|O75077|ADA23_HUMAN	tr|E7EWD3|E7EWD3_HUMAN;sp|O75077|ADA23_HUMAN	4;4	4;4	4;4	tr|E7EWD3|E7EWD3_HUMAN Disintegrin and metalloproteinase domain-containing protein 23 OS=Homo sapiens OX=9606 GN=ADAM23 PE=1 SV=2;sp|O75077|ADA23_HUMAN Disintegrin and metalloproteinase domain-containing protein 23 OS=Homo sapiens OX=9606 GN=ADAM23 PE=1 SV	2	4	4	4	6.5	6.5	6.5	92.045	832	832;832	0	31.835	91448000	4				161	32;2112;2880;4222	True;True;True;True	32;2123;2892;4243	34;2425;3325;4953	43;2899;3979;5931	43;2899;3979;5931			-1;-1
sp|O75078|ADA11_HUMAN;tr|B4DKD2|B4DKD2_HUMAN;tr|K7EKA8|K7EKA8_HUMAN	sp|O75078|ADA11_HUMAN;tr|B4DKD2|B4DKD2_HUMAN;tr|K7EKA8|K7EKA8_HUMAN	3;3;2	3;3;2	3;3;2	sp|O75078|ADA11_HUMAN Disintegrin and metalloproteinase domain-containing protein 11 OS=Homo sapiens OX=9606 GN=ADAM11 PE=2 SV=3;tr|B4DKD2|B4DKD2_HUMAN Disintegrin and metalloproteinase domain-containing protein 11 OS=Homo sapiens OX=9606 GN=ADAM11 PE=1 SV	3	3	3	3	6.9	6.9	6.9	83.418	769	769;569;517	0	27.052	18974000	3				162	854;1338;2764	True;True;True	857;1345;2776	986;1557;3201	1188;1867;3826	1188;1867;3826			-1;-1;-1
sp|O75083|WDR1_HUMAN;tr|D6RD66|D6RD66_HUMAN	sp|O75083|WDR1_HUMAN;tr|D6RD66|D6RD66_HUMAN	7;5	7;5	7;5	sp|O75083|WDR1_HUMAN WD repeat-containing protein 1 OS=Homo sapiens OX=9606 GN=WDR1 PE=1 SV=4;tr|D6RD66|D6RD66_HUMAN WD repeat-containing protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=WDR1 PE=1 SV=1	2	7	7	7	17.8	17.8	17.8	66.193	606	606;245	0	60.554	1287100000	10				163	280;1211;2755;2966;3716;5002;7023	True;True;True;True;True;True;True	280;1217;2767;2978;3735;5038;7077	319;320;1406;3192;3420;4333;4334;5879;5880;8320	387;388;1692;3816;4093;5192;5193;7066;7067;7068;10037	387;1692;3816;4093;5193;7068;10037			-1;-1
tr|E9PF63|E9PF63_HUMAN;sp|O75116|ROCK2_HUMAN;tr|D6REE7|D6REE7_HUMAN;tr|Q14DU5|Q14DU5_HUMAN	tr|E9PF63|E9PF63_HUMAN;sp|O75116|ROCK2_HUMAN;tr|D6REE7|D6REE7_HUMAN;tr|Q14DU5|Q14DU5_HUMAN	2;2;1;1	2;2;1;1	2;2;1;1	tr|E9PF63|E9PF63_HUMAN Rho-associated protein kinase 2 OS=Homo sapiens OX=9606 GN=ROCK2 PE=1 SV=1;sp|O75116|ROCK2_HUMAN Rho-associated protein kinase 2 OS=Homo sapiens OX=9606 GN=ROCK2 PE=1 SV=4;tr|D6REE7|D6REE7_HUMAN Rho-associated protein kinase 2 OS=Hom	4	2	2	2	4.4	4.4	4.4	133.26	1145	1145;1388;446;703	0	25.487	46100000	8				164	1601;5905	True;True	1609;5947	1851;6989	2212;2213;2214;8404;8405;8406;8407;8408	2214;8405			-1;-1;-1;-1
sp|O75145|LIPA3_HUMAN;tr|R4GN36|R4GN36_HUMAN;tr|R4GNF1|R4GNF1_HUMAN;tr|A0A0C4DGR8|A0A0C4DGR8_HUMAN;tr|A0A0C4DGR7|A0A0C4DGR7_HUMAN;tr|H0YIJ4|H0YIJ4_HUMAN;tr|H0YHJ4|H0YHJ4_HUMAN;tr|A0A1B0GVT3|A0A1B0GVT3_HUMAN;tr|H0YDW2|H0YDW2_HUMAN;sp|Q13136|LIPA1_HUMAN;tr|A0A2R8Y7R9|A0A2R8Y7R9_HUMAN	sp|O75145|LIPA3_HUMAN;tr|R4GN36|R4GN36_HUMAN	12;8;3;3;3;1;1;1;1;1;1	12;8;3;3;3;1;1;1;1;1;1	11;8;3;3;3;0;0;0;0;0;0	sp|O75145|LIPA3_HUMAN Liprin-alpha-3 OS=Homo sapiens OX=9606 GN=PPFIA3 PE=1 SV=3;tr|R4GN36|R4GN36_HUMAN Liprin-alpha-3 OS=Homo sapiens OX=9606 GN=PPFIA3 PE=1 SV=1	11	12	12	11	13.1	13.1	12.2	133.49	1194	1194;652;146;243;277;188;188;271;389;1202;1224	0	73.414	202350000	14				165	1267;1382;1437;2356;2445;4196;4821;5309;5464;5723;6304;6330	True;True;True;True;True;True;True;True;True;True;True;True	1273;1389;1444;2368;2457;4217;4852;5350;5506;5765;6349;6375	1471;1609;1673;2707;2820;4925;5644;6274;6459;6774;7452;7480	1769;1924;1999;3239;3374;5898;6771;6772;7548;7764;8135;8962;8963;8998;8999	1769;1924;1999;3239;3374;5898;6772;7548;7764;8135;8962;8999			-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
sp|O75208|COQ9_HUMAN;tr|H3BPY0|H3BPY0_HUMAN;tr|H3BNT2|H3BNT2_HUMAN;tr|H3BRC0|H3BRC0_HUMAN;tr|H3BSJ5|H3BSJ5_HUMAN	sp|O75208|COQ9_HUMAN;tr|H3BPY0|H3BPY0_HUMAN;tr|H3BNT2|H3BNT2_HUMAN	3;2;2;1;1	3;2;2;1;1	3;2;2;1;1	sp|O75208|COQ9_HUMAN Ubiquinone biosynthesis protein COQ9, mitochondrial OS=Homo sapiens OX=9606 GN=COQ9 PE=1 SV=1;tr|H3BPY0|H3BPY0_HUMAN Ubiquinone biosynthesis protein COQ9, mitochondrial (Fragment) OS=Homo sapiens OX=9606 GN=COQ9 PE=1 SV=1;tr|H3BNT2|H3B	5	3	3	3	11.9	11.9	11.9	35.509	318	318;89;303;207;283	0	20.262	62439000	3				166	4534;4762;6221	True;True;True	4556;4791;6266	5324;5577;7353	6393;6695;8848	6393;6695;8848			-1;-1;-1;-1;-1
sp|O75306|NDUS2_HUMAN	sp|O75306|NDUS2_HUMAN	6	6	6	sp|O75306|NDUS2_HUMAN NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial OS=Homo sapiens OX=9606 GN=NDUFS2 PE=1 SV=2	1	6	6	6	15.1	15.1	15.1	52.545	463	463	0	42.762	218470000	8				167	526;2064;2965;4588;4682;6870	True;True;True;True;True;True	528;2074;2977;4610;4708;6924	598;2370;2371;3419;5386;5488;8137	719;2833;2834;4092;6472;6473;6588;9803	719;2834;4092;6473;6588;9803			-1
