Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Intensity	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions	Taxonomy IDs	Sequence coverage Sample1-rep-1 [%]	Sequence coverage Sample1-rep-3 [%]	Sequence coverage Sample1-rep-4 [%]	Sequence coverage Sample2-rep-1 [%]	Sequence coverage Sample2-rep-3 [%]	Sequence coverage Sample2-rep-4 [%]	Sequence coverage Sample3-rep-2 [%]	Sequence coverage Sample3-rep-3 [%]	Sequence coverage Sample3-rep-4 [%]
sp|P09471|GNAO_HUMAN;tr|H3BTM2|H3BTM2_HUMAN;tr|A0A1W2PRJ7|A0A1W2PRJ7_HUMAN;tr|A0A1W2PS82|A0A1W2PS82_HUMAN;tr|A0A1W2PP87|A0A1W2PP87_HUMAN;tr|A0A1W2PP38|A0A1W2PP38_HUMAN;tr|A0A1W2PRE1|A0A1W2PRE1_HUMAN;tr|A0A087WTB6|A0A087WTB6_HUMAN;tr|A0A1W2PQK2|A0A1W2PQK2_HUMAN;tr|H0Y7E8|H0Y7E8_HUMAN;tr|H3BNR5|H3BNR5_HUMAN;tr|A2A2R6|A2A2R6_HUMAN;tr|A0A1W2PQ24|A0A1W2PQ24_HUMAN;tr|Q5JWD1|Q5JWD1_HUMAN;sp|P11488|GNAT1_HUMAN;sp|A8MTJ3|GNAT3_HUMAN;sp|P19087|GNAT2_HUMAN;tr|A0A087WZE5|A0A087WZE5_HUMAN	sp|P09471|GNAO_HUMAN;tr|H3BTM2|H3BTM2_HUMAN	14;7;6;6;4;3;3;3;3;1;1;1;1;1;1;1;1;1	14;7;6;6;4;3;3;3;3;1;1;1;1;1;1;1;1;1	12;6;5;5;4;2;2;2;2;0;1;0;1;0;0;0;0;0	sp|P09471|GNAO_HUMAN Guanine nucleotide-binding protein G(o) subunit alpha OS=Homo sapiens OX=9606 GN=GNAO1 PE=1 SV=4;tr|H3BTM2|H3BTM2_HUMAN Guanine nucleotide-binding protein G(o) subunit alpha (Fragment) OS=Homo sapiens OX=9606 GN=GNAO1 PE=1 SV=2	18	14	14	12	41.5	41.5	35	40.05	354	354;195;104;146;76;196;54;84;61;93;109;61;142;87;350;354;354;123	0	186.78	3850700000	30				285	1349;2201;2202;2830;3007;3351;3425;3477;3626;3777;3778;4234;5218;6046	True;True;True;True;True;True;True;True;True;True;True;True;True;True	1369;2233;2234;2881;3060;3409;3486;3487;3488;3545;3710;3711;3868;3869;4341;5335;6174	1623;2610;2611;2612;3441;3647;3648;3649;4062;4148;4149;4150;4215;4216;4413;4414;4649;4650;4651;5253;5254;5255;6444;6445;7447	1973;3217;3218;3219;3220;3221;4243;4501;4502;4503;4504;5022;5023;5122;5123;5124;5201;5202;5450;5451;5452;5748;5749;5750;6501;6502;6503;6504;7943;7944;9195	1973;3217;3220;4243;4502;5023;5122;5201;5452;5749;5750;6501;7943;9195	43;44;45;46	106;114;128;129	-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1	30.2	30.2	14.5	30.2	30.6	30.2	30.6	33.5	33.5
sp|P09496|CLCA_HUMAN;tr|F8WF69|F8WF69_HUMAN	sp|P09496|CLCA_HUMAN;tr|F8WF69|F8WF69_HUMAN	2;2	2;2	2;2	sp|P09496|CLCA_HUMAN Clathrin light chain A OS=Homo sapiens OX=9606 GN=CLTA PE=1 SV=1;tr|F8WF69|F8WF69_HUMAN Clathrin light chain OS=Homo sapiens OX=9606 GN=CLTA PE=1 SV=1	2	2	2	2	7.7	7.7	7.7	27.076	248	248;260	0	11.818	28944000	2				286	2794;3150	True;True	2845;3206	3399;3814	4190;4710	4190;4710			-1;-1	5.5	5.5	3.6	9.1	16.6	16.6	13	11.7	8.1
sp|P09497|CLCB_HUMAN;tr|H0Y9Q6|H0Y9Q6_HUMAN;tr|D6RJD1|D6RJD1_HUMAN	sp|P09497|CLCB_HUMAN	3;1;1	3;1;1	3;1;1	sp|P09497|CLCB_HUMAN Clathrin light chain B OS=Homo sapiens OX=9606 GN=CLTB PE=1 SV=1	3	3	3	3	11.8	11.8	11.8	25.19	229	229;81;125	0	18.5	29845000	3				287	3269;5332;5752	True;True;True	3326;5453;5879	3954;6605;7096	4886;8159;8780	4886;8159;8780			-1;-1;-1	46.9	61	46.9	43.2	34.4	61	46.9	56.8	61
sp|P09543|CN37_HUMAN;tr|K7ERC4|K7ERC4_HUMAN;tr|C9K0L8|C9K0L8_HUMAN;tr|K7ERZ0|K7ERZ0_HUMAN	sp|P09543|CN37_HUMAN;tr|K7ERC4|K7ERC4_HUMAN	5;3;1;1	5;3;1;1	5;3;1;1	"sp|P09543|CN37_HUMAN 2,3-cyclic-nucleotide 3-phosphodiesterase OS=Homo sapiens OX=9606 GN=CNP PE=1 SV=2;tr|K7ERC4|K7ERC4_HUMAN 2,3-cyclic-nucleotide 3-phosphodiesterase (Fragment) OS=Homo sapiens OX=9606 GN=CNP PE=1 SV=8"	4	5	5	5	8.3	8.3	8.3	47.578	421	421;164;144;153	0	36.688	183600000	7				288	241;2533;2758;3849;3850	True;True;True;True;True	244;2579;2809;3945;3946	298;3069;3361;4741;4742	359;360;361;3789;4150;5861;5862	361;3789;4150;5861;5862			-1;-1;-1;-1	8.1	14.6	14.6	21.7	8.1	14.6	14.6	14.6	20.7
sp|P09622|DLDH_HUMAN;tr|E9PEX6|E9PEX6_HUMAN;tr|F8WDM5|F8WDM5_HUMAN;tr|A0A1W2PR83|A0A1W2PR83_HUMAN;tr|F2Z2E3|F2Z2E3_HUMAN	sp|P09622|DLDH_HUMAN;tr|E9PEX6|E9PEX6_HUMAN	4;3;1;1;1	4;3;1;1;1	4;3;1;1;1	"sp|P09622|DLDH_HUMAN Dihydrolipoyl dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=DLD PE=1 SV=2;tr|E9PEX6|E9PEX6_HUMAN Dihydrolipoyl dehydrogenase OS=Homo sapiens OX=9606 GN=DLD PE=1 SV=1"	5	4	4	4	10.6	10.6	10.6	54.177	509	509;486;114;114;115	0	67.299	324750000	8				289	320;2357;5091;5237	True;True;True;True	324;2395;2396;5207;5355	397;2833;2834;6264;6265;6475	478;3497;3498;3499;3500;7720;7721;7987;7988	478;3500;7720;7988	47	361	-1;-1;-1;-1;-1	27.7	25.5	21.9	27.7	21.9	21.9	27.7	24.1	24.1
tr|D6RF53|D6RF53_HUMAN;tr|D6R974|D6R974_HUMAN;tr|D6RE83|D6RE83_HUMAN;sp|P09936|UCHL1_HUMAN;tr|D6R956|D6R956_HUMAN	tr|D6RF53|D6RF53_HUMAN;tr|D6R974|D6R974_HUMAN;tr|D6RE83|D6RE83_HUMAN;sp|P09936|UCHL1_HUMAN;tr|D6R956|D6R956_HUMAN	2;2;2;2;2	2;2;2;2;2	2;2;2;2;2	tr|D6RF53|D6RF53_HUMAN Ubiquitin carboxyl-terminal hydrolase (Fragment) OS=Homo sapiens OX=9606 GN=UCHL1 PE=1 SV=1;tr|D6R974|D6R974_HUMAN Ubiquitin carboxyl-terminal hydrolase OS=Homo sapiens OX=9606 GN=UCHL1 PE=1 SV=1;tr|D6RE83|D6RE83_HUMAN Ubiquitin carb	5	2	2	2	39.7	39.7	39.7	6.3355	58	58;156;207;223;241	0	17.282	84296000	4				290	2877;3576	True;True	2928;3652;3653	3493;4339;4340	4314;5343;5344;5345	4314;5344			-1;-1;-1;-1;-1	4.2	4.2	0	13	13	10.1	10.1	13	10.1
sp|P09960|LKHA4_HUMAN	sp|P09960|LKHA4_HUMAN	2	2	2	sp|P09960|LKHA4_HUMAN Leukotriene A-4 hydrolase OS=Homo sapiens OX=9606 GN=LTA4H PE=1 SV=2	1	2	2	2	4.7	4.7	4.7	69.284	611	611	0	12.224	7318600	2				291	1854;4679	True;True	1883;4790	2216;5776	2726;7124	2726;7124			-1	2.6	2.6	3.9	5.9	4.7	5.9	5.9	8.6	8.6
sp|P09972|ALDOC_HUMAN;tr|A8MVZ9|A8MVZ9_HUMAN;tr|J3KSV6|J3KSV6_HUMAN;tr|J3QKP5|J3QKP5_HUMAN;tr|C9J8F3|C9J8F3_HUMAN;tr|J3QKK1|J3QKK1_HUMAN;tr|K7EKH5|K7EKH5_HUMAN	sp|P09972|ALDOC_HUMAN;tr|A8MVZ9|A8MVZ9_HUMAN;tr|J3KSV6|J3KSV6_HUMAN;tr|J3QKP5|J3QKP5_HUMAN;tr|C9J8F3|C9J8F3_HUMAN	14;11;8;8;7;5;5	11;11;8;8;7;5;5	11;11;8;8;7;5;5	sp|P09972|ALDOC_HUMAN Fructose-bisphosphate aldolase C OS=Homo sapiens OX=9606 GN=ALDOC PE=1 SV=2;tr|A8MVZ9|A8MVZ9_HUMAN Fructose-bisphosphate aldolase OS=Homo sapiens OX=9606 GN=ALDOC PE=1 SV=1;tr|J3KSV6|J3KSV6_HUMAN Fructose-bisphosphate aldolase C (Frag	7	14	11	11	43.7	34.1	34.1	39.455	364	364;336;175;180;149;122;135	0	113.58	434520000	15				292	378;698;859;860;1168;1689;1918;3204;3938;4214;5135;5366;5904;5905	True;False;True;True;True;True;True;True;True;True;True;True;False;False	383;710;873;874;1185;1715;1947;3261;4039;4320;5252;5487;6031;6032	460;850;1045;1046;1410;2022;2293;3876;4873;5232;6320;6321;6322;6323;6641;7281;7282;7283;7284	551;552;1030;1280;1281;1717;2486;2827;2828;4785;6033;6475;7791;7792;7793;7794;8206;8207;9003;9004;9005;9006;9007;9008;9009;9010	552;1030;1280;1281;1717;2486;2827;4785;6033;6475;7792;8207;9003;9006			-1;-1;-1;-1;-1;-1;-1	2.9	2.9	2.9	2.9	2.9	0	0	2.9	0
sp|P47985|UCRI_HUMAN;sp|P0C7P4|UCRIL_HUMAN	sp|P47985|UCRI_HUMAN;sp|P0C7P4|UCRIL_HUMAN	2;2	2;2	2;2	"sp|P47985|UCRI_HUMAN Cytochrome b-c1 complex subunit Rieske, mitochondrial OS=Homo sapiens OX=9606 GN=UQCRFS1 PE=1 SV=2;sp|P0C7P4|UCRIL_HUMAN Putative cytochrome b-c1 complex subunit Rieske-like protein 1 OS=Homo sapiens OX=9606 GN=UQCRFS1P1 PE=5 SV=1"	2	2	2	2	7.7	7.7	7.7	29.668	274	274;283	0	19.335	426720000	6				293	3168;4448	True;True	3224;4558	3835;5496	4738;6783;6784;6785;6786;6787	4738;6786			-1;-1	58.2	58.2	54.4	58.2	58.2	58.2	58.2	58.2	58.2
sp|P0C860|MS3L2_HUMAN	sp|P0C860|MS3L2_HUMAN	1	1	1	sp|P0C860|MS3L2_HUMAN Putative male-specific lethal-3 protein-like 2 OS=Homo sapiens OX=9606 GN=MSL3P1 PE=5 SV=1	1	1	1	1	4.7	4.7	4.7	51.069	447	447	1	-2	0	1	+			294	3942	TRUE	4043	4878	6040	6040	48;49	160;165	-1	4.5	0	3.1	4.5	4.5	4.5	3.1	4.5	4.5
tr|J3QSA3|J3QSA3_HUMAN;tr|F5GZ39|F5GZ39_HUMAN;tr|Q96C32|Q96C32_HUMAN;sp|P0CG47|UBB_HUMAN;tr|Q5PY61|Q5PY61_HUMAN;tr|J3QKN0|J3QKN0_HUMAN;tr|F5GXK7|F5GXK7_HUMAN;tr|F5H747|F5H747_HUMAN;sp|P62979|RS27A_HUMAN;tr|F5H388|F5H388_HUMAN;tr|B4DV12|B4DV12_HUMAN;tr|F5H265|F5H265_HUMAN;tr|F5H2Z3|F5H2Z3_HUMAN;tr|F5GYU3|F5GYU3_HUMAN;sp|P62987|RL40_HUMAN;tr|F5H6Q2|F5H6Q2_HUMAN;tr|J3QTR3|J3QTR3_HUMAN;tr|Q49A90|Q49A90_HUMAN;tr|J3QS39|J3QS39_HUMAN;tr|M0R1V7|M0R1V7_HUMAN;sp|P0CG48|UBC_HUMAN;tr|M0R2S1|M0R2S1_HUMAN;tr|A0A2R8Y422|A0A2R8Y422_HUMAN;tr|M0R1M6|M0R1M6_HUMAN	tr|J3QSA3|J3QSA3_HUMAN;tr|F5GZ39|F5GZ39_HUMAN;tr|Q96C32|Q96C32_HUMAN;sp|P0CG47|UBB_HUMAN;tr|Q5PY61|Q5PY61_HUMAN;tr|J3QKN0|J3QKN0_HUMAN;tr|F5GXK7|F5GXK7_HUMAN;tr|F5H747|F5H747_HUMAN;sp|P62979|RS27A_HUMAN;tr|F5H388|F5H388_HUMAN;tr|B4DV12|B4DV12_HUMAN;tr|F5H265|F5H265_HUMAN;tr|F5H2Z3|F5H2Z3_HUMAN;tr|F5GYU3|F5GYU3_HUMAN;sp|P62987|RL40_HUMAN;tr|F5H6Q2|F5H6Q2_HUMAN;tr|J3QTR3|J3QTR3_HUMAN;tr|Q49A90|Q49A90_HUMAN;tr|J3QS39|J3QS39_HUMAN;tr|M0R1V7|M0R1V7_HUMAN;sp|P0CG48|UBC_HUMAN;tr|M0R2S1|M0R2S1_HUMAN;tr|A0A2R8Y422|A0A2R8Y422_HUMAN;tr|M0R1M6|M0R1M6_HUMAN	2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1	2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1	2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1	tr|J3QSA3|J3QSA3_HUMAN Polyubiquitin-B (Fragment) OS=Homo sapiens OX=9606 GN=UBB PE=1 SV=1;tr|F5GZ39|F5GZ39_HUMAN Polyubiquitin-C (Fragment) OS=Homo sapiens OX=9606 GN=UBC PE=1 SV=1;tr|Q96C32|Q96C32_HUMAN Polyubiquitin-C OS=Homo sapiens OX=9606 GN=UBC PE=1	24	2	2	2	67.4	67.4	67.4	4.8535	43	43;61;305;229;229;206;169;160;156;155;153;149;136;134;128;122;106;95;93;63;685;138;156;114	0	31.846	82688000	3				295	2369;5004	True;True	2410;5119	2857;6165	3530;7599;7600	3530;7600			-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1	13	9	9	13	9	13	13	13	7.6
tr|A0A0C4DFV9|A0A0C4DFV9_HUMAN;sp|Q01105|SET_HUMAN;tr|A0A087X027|A0A087X027_HUMAN;sp|P0DME0|SETLP_HUMAN	tr|A0A0C4DFV9|A0A0C4DFV9_HUMAN;sp|Q01105|SET_HUMAN;tr|A0A087X027|A0A087X027_HUMAN;sp|P0DME0|SETLP_HUMAN	1;1;1;1	1;1;1;1	1;1;1;1	tr|A0A0C4DFV9|A0A0C4DFV9_HUMAN Protein SET OS=Homo sapiens OX=9606 GN=SET PE=1 SV=1;sp|Q01105|SET_HUMAN Protein SET OS=Homo sapiens OX=9606 GN=SET PE=1 SV=3;tr|A0A087X027|A0A087X027_HUMAN Protein SETSIP OS=Homo sapiens OX=9606 GN=SETSIP PE=1 SV=1;sp|P0DME0	4	1	1	1	3.8	3.8	3.8	31.124	266	266;290;292;302	0.0015723	6.4644	7888400	1				296	5399	TRUE	5522	6685	8265	8265			-1;-1;-1;-1	4	4	4	6.2	6.2	6.2	0	0	1.7
sp|P0DMV9|HS71B_HUMAN;sp|P0DMV8|HS71A_HUMAN;tr|A0A0G2JIW1|A0A0G2JIW1_HUMAN;tr|V9GZ37|V9GZ37_HUMAN	sp|P0DMV9|HS71B_HUMAN;sp|P0DMV8|HS71A_HUMAN;tr|A0A0G2JIW1|A0A0G2JIW1_HUMAN	6;6;6;2	4;4;4;1	1;1;1;0	sp|P0DMV9|HS71B_HUMAN Heat shock 70 kDa protein 1B OS=Homo sapiens OX=9606 GN=HSPA1B PE=1 SV=1;sp|P0DMV8|HS71A_HUMAN Heat shock 70 kDa protein 1A OS=Homo sapiens OX=9606 GN=HSPA1A PE=1 SV=1;tr|A0A0G2JIW1|A0A0G2JIW1_HUMAN Heat shock 70 kDa protein 1B OS=Hom	4	6	4	1	12.6	9.2	2.3	70.051	641	641;641;642;476	0	42.074	40089000	4				297	560;726;2214;2456;3845;5223	True;True;True;False;True;False	569;738;2246;2499;3939;5341	676;881;2626;2955;4734;6456;6457	810;1070;3237;3649;5852;7960;7961;7962	810;1070;3237;3649;5852;7962			-1;-1;-1;-1	0	7.9	1.8	1.8	1.8	6.1	0	7.9	1.8
sp|P0DP25|CALM3_HUMAN;sp|P0DP24|CALM2_HUMAN;sp|P0DP23|CALM1_HUMAN;tr|H0Y7A7|H0Y7A7_HUMAN;tr|M0QZ52|M0QZ52_HUMAN;tr|F8WBR5|F8WBR5_HUMAN;tr|G3V479|G3V479_HUMAN;tr|E7ETZ0|E7ETZ0_HUMAN;tr|E7EMB3|E7EMB3_HUMAN;tr|Q96HY3|Q96HY3_HUMAN;tr|G3V361|G3V361_HUMAN;tr|C9J7T9|C9J7T9_HUMAN;sp|P27482|CALL3_HUMAN;sp|P02585|TNNC2_HUMAN	sp|P0DP25|CALM3_HUMAN;sp|P0DP24|CALM2_HUMAN;sp|P0DP23|CALM1_HUMAN;tr|H0Y7A7|H0Y7A7_HUMAN;tr|M0QZ52|M0QZ52_HUMAN;tr|F8WBR5|F8WBR5_HUMAN;tr|G3V479|G3V479_HUMAN;tr|E7ETZ0|E7ETZ0_HUMAN;tr|E7EMB3|E7EMB3_HUMAN	6;6;6;6;5;4;4;4;4;2;1;1;1;1	6;6;6;6;5;4;4;4;4;2;1;1;1;1	6;6;6;6;5;4;4;4;4;2;1;1;1;1	sp|P0DP25|CALM3_HUMAN Calmodulin-3 OS=Homo sapiens OX=9606 GN=CALM3 PE=1 SV=1;sp|P0DP24|CALM2_HUMAN Calmodulin-2 OS=Homo sapiens OX=9606 GN=CALM2 PE=1 SV=1;sp|P0DP23|CALM1_HUMAN Calmodulin-1 OS=Homo sapiens OX=9606 GN=CALM1 PE=1 SV=1;tr|H0Y7A7|H0Y7A7_HUMAN	14	6	6	6	50.3	50.3	50.3	16.837	149	149;149;149;187;83;65;83;150;196;113;98;145;149;160	0	97.705	539360000	9				298	143;144;983;996;1147;5403	True;True;True;True;True;True	143;144;998;1011;1164;5526	180;181;182;1200;1216;1217;1386;6689	217;218;219;220;221;1469;1486;1487;1687;8270	218;220;1469;1487;1687;8270			-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1	3.7	6	6	6	6	6	0	0	0
sp|P10114|RAP2A_HUMAN;tr|F6U784|F6U784_HUMAN;sp|Q9Y3L5|RAP2C_HUMAN	sp|P10114|RAP2A_HUMAN;tr|F6U784|F6U784_HUMAN;sp|Q9Y3L5|RAP2C_HUMAN	5;4;4	1;0;0	1;0;0	sp|P10114|RAP2A_HUMAN Ras-related protein Rap-2a OS=Homo sapiens OX=9606 GN=RAP2A PE=1 SV=1;tr|F6U784|F6U784_HUMAN Ras-related protein Rap-2a OS=Homo sapiens OX=9606 GN=RAP2A PE=4 SV=1;sp|Q9Y3L5|RAP2C_HUMAN Ras-related protein Rap-2c OS=Homo sapiens OX=960	3	5	1	1	35	8.7	8.7	20.615	183	183;108;183	0	16.537	8644300	2				299	330;1099;2551;5851;5918	True;False;False;False;False	334;1116;2598;5978;6045	409;1333;3096;7211;7298	490;491;1622;1623;3821;8914;9024	491;1623;3821;8914;9024			-1;-1;-1	11.5	19.4	15.1	14.8	8.4	13	0	0	0
sp|P10412|H14_HUMAN;sp|P22492|H1T_HUMAN;sp|P16403|H12_HUMAN;sp|Q02539|H11_HUMAN;sp|P16402|H13_HUMAN;sp|P16401|H15_HUMAN	sp|P10412|H14_HUMAN;sp|P22492|H1T_HUMAN;sp|P16403|H12_HUMAN;sp|Q02539|H11_HUMAN;sp|P16402|H13_HUMAN	5;3;3;3;3;1	5;3;3;3;3;1	5;3;3;3;3;1	sp|P10412|H14_HUMAN Histone H1.4 OS=Homo sapiens OX=9606 GN=HIST1H1E PE=1 SV=2;sp|P22492|H1T_HUMAN Histone H1t OS=Homo sapiens OX=9606 GN=HIST1H1T PE=2 SV=4;sp|P16403|H12_HUMAN Histone H1.2 OS=Homo sapiens OX=9606 GN=HIST1H1C PE=1 SV=2;sp|Q02539|H11_HUMAN 	6	5	5	5	20.5	20.5	20.5	21.865	219	219;207;213;215;221;226	0	59.209	189560000	6				300	323;324;1869;4398;4399	True;True;True;True;True	327;328;1898;4507;4508	400;401;402;2232;5445;5446	481;482;483;2745;6723;6724	481;482;2745;6723;6724			-1;-1;-1;-1;-1;-1	13.7	13.7	13.7	13.7	13.7	15.6	13.7	13.7	13.7
tr|H0YDD4|H0YDD4_HUMAN;sp|P10515|ODP2_HUMAN;tr|E9PEJ4|E9PEJ4_HUMAN	tr|H0YDD4|H0YDD4_HUMAN;sp|P10515|ODP2_HUMAN;tr|E9PEJ4|E9PEJ4_HUMAN	10;10;9	10;10;9	10;10;9	"tr|H0YDD4|H0YDD4_HUMAN Acetyltransferase component of pyruvate dehydrogenase complex (Fragment) OS=Homo sapiens OX=9606 GN=DLAT PE=1 SV=1;sp|P10515|ODP2_HUMAN Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitoch"	3	10	10	10	26.1	26.1	26.1	51.201	479	479;647;542	0	94.215	1015600000	20				301	502;785;1682;2299;2430;3139;3700;5418;5663;5670	True;True;True;True;True;True;True;True;True;True	510;798;1708;2332;2473;3194;3791;5541;5789;5796;5797	609;610;949;2015;2763;2921;3796;4514;4515;6708;6999;7006;7007	730;731;1157;1158;2477;3413;3611;3612;3613;4686;5579;5580;8296;8652;8653;8654;8662;8663;8664;8665	731;1158;2477;3413;3612;4686;5580;8296;8654;8665	50	62	-1;-1;-1	7.6	10.6	10.6	7.4	10.6	10.6	7.4	7.6	7.6
tr|H0Y380|H0Y380_HUMAN;tr|H0Y4H1|H0Y4H1_HUMAN;tr|H0Y7Z9|H0Y7Z9_HUMAN;tr|H0Y6Z7|H0Y6Z7_HUMAN;sp|P10586|PTPRF_HUMAN	tr|H0Y380|H0Y380_HUMAN;tr|H0Y4H1|H0Y4H1_HUMAN;tr|H0Y7Z9|H0Y7Z9_HUMAN;tr|H0Y6Z7|H0Y6Z7_HUMAN;sp|P10586|PTPRF_HUMAN	3;3;3;3;3	1;1;1;1;1	1;1;1;1;1	tr|H0Y380|H0Y380_HUMAN Receptor-type tyrosine-protein phosphatase F (Fragment) OS=Homo sapiens OX=9606 GN=PTPRF PE=1 SV=1;tr|H0Y4H1|H0Y4H1_HUMAN Receptor-type tyrosine-protein phosphatase F (Fragment) OS=Homo sapiens OX=9606 GN=PTPRF PE=1 SV=1;tr|H0Y7Z9|H0	5	3	1	1	3.6	1.7	1.7	111.19	979	979;1291;1332;1553;1907	0.0008643	7.3091	6962300	3				302	1892;5354;5902	True;False;False	1921;5475;6029	2256;2257;6627;7279	2779;2780;2781;8184;9001	2780;8184;9001			-1;-1;-1;-1;-1	19.4	31.6	19.4	19.7	19.7	19.7	19.7	31.6	19.7
sp|P10599|THIO_HUMAN	sp|P10599|THIO_HUMAN	1	1	1	sp|P10599|THIO_HUMAN Thioredoxin OS=Homo sapiens OX=9606 GN=TXN PE=1 SV=3	1	1	1	1	8.6	8.6	8.6	11.737	105	105	0.0015886	6.5115	14337000	1				303	5425	TRUE	5548	6716	8305	8305			-1	3.7	3.7	2.1	3.7	3.7	3.7	0	0	0
sp|P10606|COX5B_HUMAN	sp|P10606|COX5B_HUMAN	3	3	3	"sp|P10606|COX5B_HUMAN Cytochrome c oxidase subunit 5B, mitochondrial OS=Homo sapiens OX=9606 GN=COX5B PE=1 SV=2"	1	3	3	3	25.6	25.6	25.6	13.696	129	129	0	48.767	98008000	4				304	1032;1033;4575	True;True;True	1047;1048;4686	1258;1259;5649	1535;1536;1537;6963	1535;1537;6963			-1	9.2	9.2	9.2	9.2	9.2	9.2	0	0	1.8
tr|A0A0G2JQJ7|A0A0G2JQJ7_HUMAN;tr|A0A0G2JPD5|A0A0G2JPD5_HUMAN;sp|P10636|TAU_HUMAN;tr|A0A0G2JS76|A0A0G2JS76_HUMAN;tr|A0A0G2JMX7|A0A0G2JMX7_HUMAN;tr|I3L170|I3L170_HUMAN	tr|A0A0G2JQJ7|A0A0G2JQJ7_HUMAN;tr|A0A0G2JPD5|A0A0G2JPD5_HUMAN;sp|P10636|TAU_HUMAN;tr|A0A0G2JS76|A0A0G2JS76_HUMAN;tr|A0A0G2JMX7|A0A0G2JMX7_HUMAN;tr|I3L170|I3L170_HUMAN	14;14;14;14;14;11	14;14;14;14;14;11	14;14;14;14;14;11	tr|A0A0G2JQJ7|A0A0G2JQJ7_HUMAN Microtubule-associated protein OS=Homo sapiens OX=9606 GN=MAPT PE=1 SV=1;tr|A0A0G2JPD5|A0A0G2JPD5_HUMAN Microtubule-associated protein OS=Homo sapiens OX=9606 GN=MAPT PE=1 SV=1;sp|P10636|TAU_HUMAN Microtubule-associated prote	6	14	14	14	20.6	20.6	20.6	78.954	758	758;758;758;776;776;341	0	151.22	1093400000	18				305	1978;2017;2167;2170;2171;2596;2772;3153;4464;4509;4674;4883;5130;5139	True;True;True;True;True;True;True;True;True;True;True;True;True;True	2008;2009;2049;2199;2202;2203;2643;2823;3209;4574;4619;4785;4996;5247;5256	2360;2361;2404;2405;2570;2573;2574;3159;3376;3818;5512;5570;5771;6022;6311;6312;6328;6329	2914;2915;2967;2968;3164;3167;3168;3902;4166;4714;4715;6806;6872;7119;7424;7425;7780;7781;7801;7802;7803	2915;2968;3164;3167;3168;3902;4166;4714;6806;6872;7119;7424;7780;7802	51	736	-1;-1;-1;-1;-1;-1	13.8	13.8	13.8	13.8	9	13.8	13.8	9	13.8
sp|P10644|KAP0_HUMAN;tr|K7EPB2|K7EPB2_HUMAN;tr|K7EM13|K7EM13_HUMAN;tr|K7EMU2|K7EMU2_HUMAN;tr|K7EMZ6|K7EMZ6_HUMAN;tr|K7EIE5|K7EIE5_HUMAN;tr|K7EID3|K7EID3_HUMAN;tr|K7EJ40|K7EJ40_HUMAN;tr|K7EK41|K7EK41_HUMAN	sp|P10644|KAP0_HUMAN;tr|K7EPB2|K7EPB2_HUMAN	5;3;2;1;1;1;1;1;1	5;3;2;1;1;1;1;1;1	4;2;1;1;1;1;1;1;1	sp|P10644|KAP0_HUMAN cAMP-dependent protein kinase type I-alpha regulatory subunit OS=Homo sapiens OX=9606 GN=PRKAR1A PE=1 SV=1;tr|K7EPB2|K7EPB2_HUMAN cAMP-dependent protein kinase type I-alpha regulatory subunit (Fragment) OS=Homo sapiens OX=9606 GN=PRKAR	9	5	5	4	18.1	18.1	16	42.981	381	381;297;153;113;131;157;167;182;204	0	30.897	21835000	5				306	2273;2870;3729;4892;5727	True;True;True;True;True	2306;2921;3820;5005;5854	2735;3485;4549;6032;7069	3377;4304;5620;5621;7436;8751	3377;4304;5620;7436;8751			-1;-1;-1;-1;-1;-1;-1;-1;-1	4	0	8.1	14	4	14	14	14	4
sp|P10696|PPBN_HUMAN	sp|P10696|PPBN_HUMAN	1	1	1	"sp|P10696|PPBN_HUMAN Alkaline phosphatase, germ cell type OS=Homo sapiens OX=9606 GN=ALPG PE=2 SV=4"	1	1	1	1	1.9	1.9	1.9	57.376	532	532	0.0097911	5.6751	5698400	1				307	3950	TRUE	4052	4890	6056	6056			-1	3.5	3.5	3.5	3.5	3.5	0	3.5	3.5	3.5
